time,high,low,open,close
1613058120,47883.24,47846.2,47850.96,47866.35
1613058180,47891.25,47864.5,47866.35,47873.21
1613058240,47881.71,47842.49,47873.21,47843.52
1613058300,47927.36,47842.66,47843.52,47927.36
1613058360,47929.94,47901.98,47927.36,47913.64
1613058420,47922.13,47909.91,47913.64,47919.66
1613058480,47992.53,47919.66,47919.66,47989.16
1613058540,47989.16,47949.62,47989.16,47974.53
1613058600,48021.69,47972.79,47974.53,48021.69
1613058660,48036.67,48019.17,48021.69,48035.06
1613058720,48081.03,48035.0,48035.06,48078.4
1613058780,48158.29,48078.2,48078.4,48139.7
1613058840,48176.14,48028.98,48139.7,48028.98
1613058900,48061.67,47955.27,48028.98,48060.0
1613058960,48061.84,48034.84,48060.0,48046.0
1613059020,48049.32,48008.07,48046.0,48010.15
1613059080,48010.15,47961.13,48010.15,47988.65
1613059140,48030.83,47973.77,47988.65,48028.21
1613059200,48222.66,48019.19,48028.21,48195.03
1613059260,48318.76,48105.82,48195.03,48123.25
1613059320,48165.76,47932.72,48123.25,48043.44
1613059380,48045.59,47925.95,48043.44,48010.17
1613059440,48025.33,47909.17,48010.17,47958.89
1613059500,48002.42,47804.93,47958.89,47818.89
1613059560,47828.24,47714.53,47818.89,47782.12
1613059620,47823.89,47757.38,47782.12,47819.99
1613059680,47869.98,47810.02,47819.99,47817.72
1613059740,47834.57,47802.9,47817.72,47814.13
1613059800,47839.0,47796.26,47814.13,47807.43
1613059860,47894.96,47806.93,47807.43,47886.84
1613059920,47895.56,47811.99,47886.84,47827.8
1613059980,47845.08,47823.69,47827.8,47836.89
1613060040,47870.06,47834.54,47836.89,47862.77
1613060100,47992.58,47857.05,47862.77,47979.59
1613060160,48056.9,47979.59,47979.59,48056.85
1613060220,48079.69,48035.03,48056.85,48036.69
1613060280,48045.16,47977.2,48036.69,47990.08
1613060340,47990.47,47872.53,47990.08,47873.57
1613060400,47918.15,47824.2,47873.57,47824.2
1613060460,47949.46,47823.92,47824.2,47947.33
1613060520,48009.55,47947.33,47947.33,47993.58
1613060580,48030.69,47991.17,47993.58,47996.59
1613060640,48002.83,47931.76,47996.59,47954.77
